dataset,pipeline,score,time,samples,channels,n_sessions
BNCI2014-001,CSP+LDA,0.8265895,0.11695601,144.0,22.0,2.0
BNCI2014-001,CSP+SVM,0.8259773,18.504211,144.0,22.0,2.0
BNCI2014-001,DLCSPauto+shLDA,0.82733715,0.11838398,144.0,22.0,2.0
BNCI2014-001,FgMDM,0.8633333,0.24830262,144.0,22.0,2.0
BNCI2014-001,LogVariance+LDA,0.7768828,0.026398761,144.0,22.0,2.0
BNCI2014-001,LogVariance+SVM,0.76344216,0.72176963,144.0,22.0,2.0
BNCI2014-001,MDM,0.80831444,0.19943367,144.0,22.0,2.0
BNCI2014-001,TRCSP+LDA,0.7965994,0.03468884,144.0,22.0,2.0
BNCI2014-001,TS+EL,0.86329406,3.7453864,144.0,22.0,2.0
BNCI2014-001,TS+LR,0.8696002,0.20055746,144.0,22.0,2.0
BNCI2014-001,TS+SVM,0.8647294,3.9844425,144.0,22.0,2.0
